SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,BANDING_CODES,ORDER,FAMILY_COM_NAME,4-Letter-Code (IBP),Common Name (IBP),6-Letter-Code (IBP),中文名,英文名,Common Name (BBL),4-Letter-Code (BBL),Name_Diff,Code_Diff,Common-Names,4-Letter-Code
Diomedea antipodensis,Antipodean Albatross,antalb1,species,WAAL,Procellariiformes,Albatrosses,,,,,,,,,,Antipodean Albatross,WAAL
Diomedea amsterdamensis,Amsterdam Albatross,wanalb5,species,WAAL,Procellariiformes,Albatrosses,,,,,,,,,,Amsterdam Albatross,WAAL
Phoebastria irrorata,Waved Albatross,wavalb,species,WAVA,Procellariiformes,Albatrosses,WAVA,Waved Albatross,PHOIRR,,,Waved Albatross,WAVA,,,Waved Albatross,WAVA
Phoebastria immutabilis,Laysan Albatross,layalb,species,LAAL,Procellariiformes,Albatrosses,LAAL,Laysan Albatross,PHOIMM,黑背信天翁,Laysan Albatross,Laysan Albatross,LAAL,,,Laysan Albatross,LAAL
Phoebastria nigripes,Black-footed Albatross,bkfalb,species,BFAL,Procellariiformes,Albatrosses,BFAL,Black-footed Albatross,PHONIG,黑脚信天翁,Black-footed Albatross,Black-footed Albatross,BFAL,,,Black-footed Albatross,BFAL
Phoebastria immutabilis x nigripes,Laysan x Black-footed Albatross (hybrid),x00017,hybrid,LBFH,Procellariiformes,Albatrosses,LBFH,Laysan X Black-foot. Albatross Hybrid,PHOIMN,,,,,IBP,,Laysan x Black-footed Albatross (hybrid)|Laysan X Black-foot. Albatross Hybrid,LBFH
Phoebastria albatrus,Short-tailed Albatross,shtalb,species,STAL,Procellariiformes,Albatrosses,STAL,Short-tailed Albatross,PHOALB,短尾信天翁,Short-tailed Albatross,Short-tailed Albatross,STAL,,,Short-tailed Albatross,STAL
Phoebetria fusca,Sooty Albatross,sooalb1,species,,Procellariiformes,Albatrosses,,,,,,Sooty Albatross,SOAL,,BBL,Sooty Albatross,(SOAL)
Phoebetria palpebrata,Light-mantled Albatross,limalb1,species,LMAL,Procellariiformes,Albatrosses,LMAL,Light-mantled Albatross,PHOPAL,,,Light-mantled Albatross,LMSA,,BBL,Light-mantled Albatross,LMAL
Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,yenalb2,species,YNAL,Procellariiformes,Albatrosses,YNAL,Yellow-nosed Albatross,THACHL,,,Yellow-nosed Albatross,YNAL,IBP|BBL,,Atlantic Yellow-nosed Albatross|Yellow-nosed Albatross|Yellow-nosed Albatross,YNAL
Thalassarche carteri,Indian Yellow-nosed Albatross,yenalb3,species,YNAL,Procellariiformes,Albatrosses,,,,,,,,,,Indian Yellow-nosed Albatross,YNAL
Thalassarche chrysostoma,Gray-headed Albatross,gyhalb,species,,Procellariiformes,Albatrosses,,,,,,Gray-headed Albatross,GHAL,,BBL,Gray-headed Albatross,(GHAL)
Thalassarche bulleri,Buller's Albatross,bulalb2,species,,Procellariiformes,Albatrosses,,,,,,Buller's Albatross,BUAL,,BBL,Buller's Albatross,(BUAL)
Thalassarche cauta,White-capped Albatross,whcalb1,species,WCAL,Procellariiformes,Albatrosses,WCAL,White-capped Albatross,THACAU,,,White-capped Albatross,WCAL,,,White-capped Albatross,WCAL
Thalassarche salvini,Salvin's Albatross,salalb1,species,SAAL,Procellariiformes,Albatrosses,SAAL,Salvin's Albatross,THASAL,,,,,,,Salvin's Albatross,SAAL
Thalassarche eremita,Chatham Albatross,shyalb2,species,CHAL,Procellariiformes,Albatrosses,CHAL,Chatham Albatross,THAERE,,,,,,,Chatham Albatross,CHAL
Thalassarche melanophris,Black-browed Albatross,bkbalb,species,BBAL,Procellariiformes,Albatrosses,BBAL,Black-browed Albatross,THAMEL,,,Black-browed Albatross,BBAL,,,Black-browed Albatross,BBAL
Thalassarche chrysostoma x melanophris,Gray-headed x Black-browed Albatross (hybrid),x01063,hybrid,,Procellariiformes,Albatrosses,,,,,,,,,,Gray-headed x Black-browed Albatross (hybrid),
Oceanites oceanicus,Wilson's Storm-Petrel,wispet,species,WISP,Procellariiformes,Southern Storm-Petrels,WISP,Wilson's Storm-Petrel,OCEOCE,黄蹼洋海燕,Wilson's Storm Petrel,Wilson's Storm-Petrel,WISP,,,Wilson's Storm-Petrel,WISP
Oceanites pincoyae,Pincoya Storm-Petrel,pumstp1,species,,Procellariiformes,Southern Storm-Petrels,,,,,,,,,,Pincoya Storm-Petrel,
Oceanites gracilis,Elliot's Storm-Petrel,wvspet1,species,,Procellariiformes,Southern Storm-Petrels,,,,,,,,,,Elliot's Storm-Petrel,
Garrodia nereis,Gray-backed Storm-Petrel,gybstp1,species,,Procellariiformes,Southern Storm-Petrels,,,,,,Gray-backed Storm-Petrel,GBSP,,BBL,Gray-backed Storm-Petrel,(GBSP)
Pelagodroma marina,White-faced Storm-Petrel,wfspet,species,WFSP,Procellariiformes,Southern Storm-Petrels,WFSP,White-faced Storm-Petrel,PELMAR,,,White-faced Storm-Petrel,WFSP,,,White-faced Storm-Petrel,WFSP
Fregetta grallaria,White-bellied Storm-Petrel,wbspet1,species,,Procellariiformes,Southern Storm-Petrels,,,,,,,,,,White-bellied Storm-Petrel,
Fregetta maoriana,New Zealand Storm-Petrel,nezstp1,species,,Procellariiformes,Southern Storm-Petrels,,,,,,,,,,New Zealand Storm-Petrel,
Fregetta lineata,New Caledonian Storm-Petrel,necstp1,species,,Procellariiformes,Southern Storm-Petrels,,,,,,,,,,New Caledonian Storm-Petrel,
Fregetta tropica,Black-bellied Storm-Petrel,bbspet1,species,BBSP,Procellariiformes,Southern Storm-Petrels,BBSP,Black-bellied Storm-Petrel,FRETRO,,,,,,,Black-bellied Storm-Petrel,BBSP
Nesofregetta fuliginosa,Polynesian Storm-Petrel,pospet1,species,,Procellariiformes,Southern Storm-Petrels,,,,,,White-throated Storm-Petrel,WHSP,BBL,BBL,Polynesian Storm-Petrel|White-throated Storm-Petrel,(WHSP)
Hydrobates pelagicus,European Storm-Petrel,bripet,species,EUSP,Procellariiformes,Northern Storm-Petrels,EUSP,European Storm-Petrel,HYDPEL,,,,,,,European Storm-Petrel,EUSP
Hydrobates furcatus,Fork-tailed Storm-Petrel,ftspet,species,FTSP,Procellariiformes,Northern Storm-Petrels,FTSP,Fork-tailed Storm-Petrel,HYDFUR,,,Fork-tailed Storm-Petrel,FTSP,,,Fork-tailed Storm-Petrel,FTSP
Hydrobates hornbyi,Ringed Storm-Petrel,rispet1,species,RISP,Procellariiformes,Northern Storm-Petrels,RISP,Ringed Storm-Petrel,HYDHOR,,,,,,,Ringed Storm-Petrel,RISP
Hydrobates leucorhous,Leach's Storm-Petrel,lcspet,species,LESP,Procellariiformes,Northern Storm-Petrels,LESP,Leach's Storm-Petrel,HYDLEU,白腰叉尾海燕,Leach's Storm Petrel,Leach's Storm-Petrel,LHSP,,BBL,Leach's Storm-Petrel,LESP
Hydrobates socorroensis,Townsend's Storm-Petrel,leastp5,species,TOSP,Procellariiformes,Northern Storm-Petrels,TOSP,Townsend's Storm-Petrel,HYDSOC,,,,,,,Townsend's Storm-Petrel,TOSP
Hydrobates cheimomnestes,Ainley's Storm-Petrel,leastp2,species,AISP,Procellariiformes,Northern Storm-Petrels,AISP,Ainley's Storm-Petrel,HYDCHE,,,,,,,Ainley's Storm-Petrel,AISP
Hydrobates monorhis,Swinhoe's Storm-Petrel,swspet,species,SSTP,Procellariiformes,Northern Storm-Petrels,SSTP,Swinhoe's Storm-Petrel,HYDMON,黑叉尾海燕,Swinhoe's Storm Petrel,,,,,Swinhoe's Storm-Petrel,SSTP
Hydrobates homochroa,Ashy Storm-Petrel,asspet,species,ASSP,Procellariiformes,Northern Storm-Petrels,ASSP,Ashy Storm-Petrel,HYDHOM,,,Ashy Storm-Petrel,ASSP,,,Ashy Storm-Petrel,ASSP
Hydrobates castro,Band-rumped Storm-Petrel,barpet,species,BSTP,Procellariiformes,Northern Storm-Petrels,BSTP,Band-rumped Storm-Petrel,HYDCAT,,,Band-rumped Storm-Petrel,BANP,,BBL,Band-rumped Storm-Petrel,BSTP
Hydrobates monteiroi,Monteiro's Storm-Petrel,monstp1,species,,Procellariiformes,Northern Storm-Petrels,,,,,,,,,,Monteiro's Storm-Petrel,
Hydrobates jabejabe,Cape Verde Storm-Petrel,cavstp1,species,,Procellariiformes,Northern Storm-Petrels,,,,,,,,,,Cape Verde Storm-Petrel,
Hydrobates tethys,Wedge-rumped Storm-Petrel,wrspet,species,WRSP,Procellariiformes,Northern Storm-Petrels,WRSP,Wedge-rumped Storm-Petrel,HYDTET,,,Wedge-rumped Storm-Petrel,WRSP,,,Wedge-rumped Storm-Petrel,WRSP
Hydrobates melania,Black Storm-Petrel,bkspet,species,BLSP,Procellariiformes,Northern Storm-Petrels,BLSP,Black Storm-Petrel,HYDMEL,,,Black Storm-Petrel,BLSP,,,Black Storm-Petrel,BLSP
Hydrobates macrodactylus,Guadalupe Storm-Petrel,guspet,species,GUSP,Procellariiformes,Northern Storm-Petrels,GUSP,Guadalupe Storm-Petrel,HYDMAD,,,,,,,Guadalupe Storm-Petrel,GUSP
Hydrobates markhami,Markham's Storm-Petrel,maspet,species,MASP,Procellariiformes,Northern Storm-Petrels,MASP,Markham's Storm-Petrel,HYDMAR,,,,,,,Markham's Storm-Petrel,MASP
Hydrobates matsudairae,Matsudaira's Storm-Petrel,maspet2,species,,Procellariiformes,Northern Storm-Petrels,,,,日本叉尾海燕,Matsudaira's Storm Petrel,,,,,Matsudaira's Storm-Petrel,
Hydrobates tristrami,Tristram's Storm-Petrel,trspet,species,TRSP,Procellariiformes,Northern Storm-Petrels,TRSP,Tristram's Storm-Petrel,HYDTRI,褐翅叉尾海燕,Tristram's Storm Petrel,Tristram's Storm-Petrel,TRSP,,,Tristram's Storm-Petrel,TRSP
Hydrobates microsoma,Least Storm-Petrel,lsspet,species,LSTP,Procellariiformes,Northern Storm-Petrels,LSTP,Least Storm-Petrel,HYDMIC,,,Least Storm-Petrel,LTSP,,BBL,Least Storm-Petrel,LSTP
Macronectes giganteus,Southern Giant-Petrel,angpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Southern Giant-Petrel,SGPE,,BBL,Southern Giant-Petrel,(SGPE)
Macronectes halli,Northern Giant-Petrel,norgip1,species,NOGP,Procellariiformes,Shearwaters and Petrels,NOGP,Northern Giant-Petrel,MACHAL,,,Northern Giant-Petrel,NGPE,,BBL,Northern Giant-Petrel,NOGP
Fulmarus glacialis,Northern Fulmar,norful,species,NOFU,Procellariiformes,Shearwaters and Petrels,NOFU,Northern Fulmar,FULGLA,暴雪鹱,Northern Fulmar,Northern Fulmar,NOFU,,,Northern Fulmar,NOFU
Fulmarus glacialoides,Southern Fulmar,souful1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Southern Fulmar,SOFU,,BBL,Southern Fulmar,(SOFU)
Thalassoica antarctica,Antarctic Petrel,antpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Antarctic Petrel,ANPE,,BBL,Antarctic Petrel,(ANPE)
Daption capense,Pintado Petrel,cappet,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Pintado Petrel,PIPE,,BBL,Pintado Petrel,(PIPE)
Pagodroma nivea,Snow Petrel,snopet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Snow Petrel,SNPE,,BBL,Snow Petrel,(SNPE)
Aphrodroma brevirostris,Kerguelen Petrel,kerpet2,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Kerguelen Petrel,KEPE,,BBL,Kerguelen Petrel,(KEPE)
Pterodroma rupinarum,Large St. Helena Petrel,lshpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Large St. Helena Petrel,
Pterodroma macroptera,Great-winged Petrel,grwpet3,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Great-winged Petrel,
Pterodroma gouldi,Gray-faced Petrel,grwpet2,species,GFPE,Procellariiformes,Shearwaters and Petrels,GFPE,Gray-faced Petrel,PTEGOU,,,,,,,Gray-faced Petrel,GFPE
Pterodroma neglecta,Kermadec Petrel,kerpet,species,KEPE,Procellariiformes,Shearwaters and Petrels,KEPE,Kermadec Petrel,PTENEG,,,,,,,Kermadec Petrel,KEPE
Pterodroma magentae,Magenta Petrel,magpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Magenta Petrel,
Pterodroma arminjoniana,Trindade Petrel,tripet1,species,TRPE,Procellariiformes,Shearwaters and Petrels,TRPE,Trindade Petrel,PTEARM,,,Trindade Petrel,TRPE,,,Trindade Petrel,TRPE
Pterodroma heraldica,Herald Petrel,herpet2,species,HEPE,Procellariiformes,Shearwaters and Petrels,HEPE,Herald Petrel,PTEHER,信使圆尾鹱,Herald Petrel,,,,,Herald Petrel,HEPE
Pterodroma ultima,Murphy's Petrel,murpet,species,MUPE,Procellariiformes,Shearwaters and Petrels,MUPE,Murphy's Petrel,PTEULT,,,Murphy's Petrel,MUPE,,,Murphy's Petrel,MUPE
Pterodroma solandri,Providence Petrel,solpet1,species,PRPE,Procellariiformes,Shearwaters and Petrels,PRPE,Providence Petrel,PTESOL,棕头圆尾鹱,Providence Petrel,,,,,Providence Petrel,PRPE
Pterodroma atrata,Henderson Petrel,henpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Henderson Petrel,
Pterodroma madeira,Zino's Petrel,madpet,species,ZIPE,Procellariiformes,Shearwaters and Petrels,ZIPE,Zino's Petrel,PTEMAD,,,,,,,Zino's Petrel,ZIPE
Pterodroma feae,Cape Verde Petrel,feapet3,species,,Procellariiformes,Shearwaters and Petrels,FEPE,Fea's Petrel,PTEFEA,,,,,IBP,IBP,Cape Verde Petrel|Fea's Petrel,
Pterodroma deserta,Desertas Petrel,feapet2,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Desertas Petrel,
Pterodroma mollis,Soft-plumaged Petrel,soppet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Soft-plumaged Petrel,
Pterodroma baraui,Barau's Petrel,barpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Barau's Petrel,
Pterodroma lessonii,White-headed Petrel,whhpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,White-headed Petrel,
Pterodroma inexpectata,Mottled Petrel,motpet,species,MOPE,Procellariiformes,Shearwaters and Petrels,MOPE,Mottled Petrel,PTEINE,,,Mottled Petrel,MOPE,,,Mottled Petrel,MOPE
Pterodroma cahow,Bermuda Petrel,berpet,species,BEPE,Procellariiformes,Shearwaters and Petrels,BEPE,Bermuda Petrel,PTECAH,,,,,,,Bermuda Petrel,BEPE
Pterodroma hasitata,Black-capped Petrel,bkcpet,species,BCPE,Procellariiformes,Shearwaters and Petrels,BCPE,Black-capped Petrel,PTEHAS,,,Black-capped Petrel,BCPE,,,Black-capped Petrel,BCPE
Pterodroma caribbaea,Jamaican Petrel,bkcpet2,species,JPET,Procellariiformes,Shearwaters and Petrels,JPET,Jamaican Petrel,PTECAR,,,,,,,Jamaican Petrel,JPET
Pterodroma externa,Juan Fernandez Petrel,jufpet,species,JFPE,Procellariiformes,Shearwaters and Petrels,JFPE,Juan Fernandez Petrel,PTEEXT,,,Juan Fernandez Petrel,JFPE,,,Juan Fernandez Petrel,JFPE
Pterodroma incerta,Atlantic Petrel,atlpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Atlantic Petrel,
Pterodroma phaeopygia,Galapagos Petrel,galpet,species,GAPE,Procellariiformes,Shearwaters and Petrels,GAPE,Galapagos Petrel,PTEPHA,,,,,,,Galapagos Petrel,GAPE
Pterodroma sandwichensis,Hawaiian Petrel,hawpet1,species,HAPE,Procellariiformes,Shearwaters and Petrels,HAPE,Hawaiian Petrel,PTESAN,,,Hawaiian Petrel,HAPE,,,Hawaiian Petrel,HAPE
Pterodroma cervicalis,White-necked Petrel,whnpet,species,WNPE,Procellariiformes,Shearwaters and Petrels,WNPE,White-necked Petrel,PTECER,,,,,,,White-necked Petrel,WNPE
Pterodroma hypoleuca,Bonin Petrel,bonpet,species,BOPE,Procellariiformes,Shearwaters and Petrels,BOPE,Bonin Petrel,PTEHYP,白额圆尾鹱,Bonin Petrel,Bonin Petrel,BOPE,,,Bonin Petrel,BOPE
Pterodroma nigripennis,Black-winged Petrel,bkwpet,species,BWPE,Procellariiformes,Shearwaters and Petrels,BWPE,Black-winged Petrel,PTENIG,,,Black-winged Petrel,BWPE,,,Black-winged Petrel,BWPE
Pterodroma axillaris,Chatham Islands Petrel,chapet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Chatham Islands Petrel,
Pterodroma cookii,Cook's Petrel,coopet,species,COPE,Procellariiformes,Shearwaters and Petrels,COPE,Cook's Petrel,PTECOO,,,Cook's Petrel,COPE,,,Cook's Petrel,COPE
Pterodroma defilippiana,Masatierra Petrel,maspet3,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Masatierra Petrel,
Pterodroma leucoptera,Gould's Petrel,goupet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Gould's Petrel,
Pterodroma brevipes,Collared Petrel,colpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Collared Petrel,
Pterodroma longirostris,Stejneger's Petrel,stepet,species,STPE,Procellariiformes,Shearwaters and Petrels,STPE,Stejneger's Petrel,PTELON,,,Stejneger's Petrel,STPE,,,Stejneger's Petrel,STPE
Pterodroma pycrofti,Pycroft's Petrel,pycpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Pycroft's Petrel,
Pterodroma alba,Phoenix Petrel,phopet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Phoenix Petrel,PHPE,,BBL,Phoenix Petrel,(PHPE)
Pterodroma occulta,Vanuatu Petrel,venpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Vanuatu Petrel,
Halobaena caerulea,Blue Petrel,blupet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Blue Petrel,BLPE,,BBL,Blue Petrel,(BLPE)
Pachyptila turtur,Fairy Prion,faipri1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Fairy Prion,FAPR,,BBL,Fairy Prion,(FAPR)
Pachyptila vittata,Broad-billed Prion,brbpri1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Broad-billed Prion,BBPR,,BBL,Broad-billed Prion,(BBPR)
Pachyptila salvini,Salvin's Prion,salpri2,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Salvin's Prion,
Pachyptila macgillivrayi,MacGillivray's Prion,salpri3,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,MacGillivray's Prion,
Pachyptila desolata,Antarctic Prion,dovpri1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Dove Prion,DOPR,BBL,BBL,Antarctic Prion|Dove Prion,(DOPR)
Pachyptila belcheri,Slender-billed Prion,slbpri1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Thin-billed Prion,TBPR,BBL,BBL,Slender-billed Prion|Thin-billed Prion,(TBPR)
Pachyptila crassirostris,Fulmar Prion,fulpri1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Fulmar Prion,
Bulweria bulwerii,Bulwer's Petrel,bulpet,species,BUPE,Procellariiformes,Shearwaters and Petrels,BUPE,Bulwer's Petrel,BULBUL,褐燕鹱,Bulwer's Petrel,Bulwer's Petrel,BUPE,,,Bulwer's Petrel,BUPE
Bulweria fallax,Jouanin's Petrel,joupet,species,JOPE,Procellariiformes,Shearwaters and Petrels,JOPE,Jouanin's Petrel,BULFAL,,,,,,,Jouanin's Petrel,JOPE
Bulweria bifax,Small St. Helena Petrel,sshpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Small St. Helena Petrel,
Pseudobulweria macgillivrayi,Fiji Petrel,fijpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Fiji Petrel,
Pseudobulweria aterrima,Mascarene Petrel,maspet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Mascarene Petrel,
Pseudobulweria rostrata,Tahiti Petrel,tahpet1,species,TAPE,Procellariiformes,Shearwaters and Petrels,TAPE,Tahiti Petrel,PSEROS,钩嘴圆尾鹱,Tahiti Petrel,Tahiti Petrel,TAPE,,,Tahiti Petrel,TAPE
Pseudobulweria becki,Beck's Petrel,becpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Beck's Petrel,
Procellaria cinerea,Gray Petrel,grapet,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Gray Petrel,
Procellaria aequinoctialis,White-chinned Petrel,whcpet1,species,WCPE,Procellariiformes,Shearwaters and Petrels,WCPE,White-chinned Petrel,PROAEQ,,,White-chinned Petrel,WCPE,,,White-chinned Petrel,WCPE
Procellaria conspicillata,Spectacled Petrel,spepet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Spectacled Petrel,
Procellaria parkinsoni,Parkinson's Petrel,parpet1,species,PAPE,Procellariiformes,Shearwaters and Petrels,PAPE,Parkinson's Petrel,PROPAR,,,,,,,Parkinson's Petrel,PAPE
Procellaria westlandica,Westland Petrel,wespet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Westland Petrel,
Calonectris leucomelas,Streaked Shearwater,strshe,species,STRS,Procellariiformes,Shearwaters and Petrels,STRS,Streaked Shearwater,CALLEU,白额鹱,Streaked Shearwater,Streaked Shearwater,STRS,,,Streaked Shearwater,STRS
Calonectris borealis,Cory's Shearwater,corshe1,species,CORS,Procellariiformes,Shearwaters and Petrels,CORS,Cory's Shearwater,CALBOR,,,Cory's Shearwater,COSH,,BBL,Cory's Shearwater,CORS
Calonectris diomedea,Scopoli's Shearwater,scoshe1,species,SCSH,Procellariiformes,Shearwaters and Petrels,SCSH,Scopoli's Shearwater,CALDIO,,,Scopoli's Shearwater,SCSH,,,Scopoli's Shearwater,SCSH
Calonectris edwardsii,Cape Verde Shearwater,cavshe1,species,CVSH,Procellariiformes,Shearwaters and Petrels,CVSH,Cape Verde Shearwater,CALEDW,,,,,,,Cape Verde Shearwater,CVSH
Ardenna creatopus,Pink-footed Shearwater,pifshe,species,PFSH,Procellariiformes,Shearwaters and Petrels,PFSH,Pink-footed Shearwater,ARDCRE,,,Pink-footed Shearwater,PFSH,,,Pink-footed Shearwater,PFSH
Ardenna carneipes,Flesh-footed Shearwater,flfshe,species,FFSH,Procellariiformes,Shearwaters and Petrels,FFSH,Flesh-footed Shearwater,ARDCAR,淡足鹱,Flesh-footed Shearwater,Flesh-footed Shearwater,FFSH,,,Flesh-footed Shearwater,FFSH
Ardenna gravis,Great Shearwater,greshe,species,GRSH,Procellariiformes,Shearwaters and Petrels,GRSH,Great Shearwater,ARDGRA,,,Great Shearwater,GRSH,,,Great Shearwater,GRSH
Ardenna pacifica,Wedge-tailed Shearwater,wetshe,species,WTSH,Procellariiformes,Shearwaters and Petrels,WTSH,Wedge-tailed Shearwater,ARDPAC,楔尾鹱,Wedge-tailed Shearwater,Wedge-tailed Shearwater,WTSH,,,Wedge-tailed Shearwater,WTSH
Ardenna bulleri,Buller's Shearwater,bulshe,species,BULS,Procellariiformes,Shearwaters and Petrels,BULS,Buller's Shearwater,ARDBUL,,,Buller's Shearwater,BULS,,,Buller's Shearwater,BULS
Ardenna grisea,Sooty Shearwater,sooshe,species,SOSH,Procellariiformes,Shearwaters and Petrels,SOSH,Sooty Shearwater,ARDGRI,灰鹱,Sooty Shearwater,Sooty Shearwater,SOSH,,,Sooty Shearwater,SOSH
Ardenna tenuirostris,Short-tailed Shearwater,shtshe,species,STTS,Procellariiformes,Shearwaters and Petrels,STTS,Short-tailed Shearwater,ARDTEN,短尾鹱,Short-tailed Shearwater,Short-tailed Shearwater,SHOS,,BBL,Short-tailed Shearwater,STTS
Puffinus nativitatis,Christmas Shearwater,chrshe,species,CHSH,Procellariiformes,Shearwaters and Petrels,CHSH,Christmas Shearwater,PUFNAT,黑鹱,Christmas Shearwater,Christmas Shearwater,CHSH,,,Christmas Shearwater,CHSH
Puffinus subalaris,Galapagos Shearwater,audshe3,species,GASH,Procellariiformes,Shearwaters and Petrels,GASH,Galapagos Shearwater,PUFSUB,,,,,,,Galapagos Shearwater,GASH
Puffinus puffinus,Manx Shearwater,manshe,species,MASH,Procellariiformes,Shearwaters and Petrels,MASH,Manx Shearwater,PUFPUF,,,Manx Shearwater,MASH,,,Manx Shearwater,MASH
Puffinus yelkouan,Yelkouan Shearwater,levshe1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Yelkouan Shearwater,
Puffinus mauretanicus,Balearic Shearwater,balshe1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Balearic Shearwater,
Puffinus huttoni,Hutton's Shearwater,hutshe1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Hutton's Shearwater,
Puffinus bannermani,Bannerman's Shearwater,troshe4,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Bannerman's Shearwater,
Puffinus auricularis,Townsend's Shearwater,towshe1,species,TOSH,Procellariiformes,Shearwaters and Petrels,TOSH,Townsend's Shearwater,PUFAUR,,,Townsend's Shearwater,TOSH,,,Townsend's Shearwater,TOSH
Puffinus newelli,Newell's Shearwater,towshe2,species,NESH,Procellariiformes,Shearwaters and Petrels,NESH,Newell's Shearwater,PUFNEW,,,Newell's Shearwater,NESH,,,Newell's Shearwater,NESH
Puffinus myrtae,Rapa Shearwater,towshe3,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Rapa Shearwater,
Puffinus bryani,Bryan's Shearwater,bryshe1,species,BRYS,Procellariiformes,Shearwaters and Petrels,BRYS,Bryan's Shearwater,PUFBRY,,,,,,,Bryan's Shearwater,BRYS
Puffinus opisthomelas,Black-vented Shearwater,bkvshe,species,BVSH,Procellariiformes,Shearwaters and Petrels,BVSH,Black-vented Shearwater,PUFOPI,,,Black-vented Shearwater,BVSH,,,Black-vented Shearwater,BVSH
Puffinus gavia,Fluttering Shearwater,flushe1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Fluttering Shearwater,
Puffinus assimilis,Little Shearwater,litshe8,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Little Shearwater,LISH,,BBL,Little Shearwater,(LISH)
Puffinus elegans,Subantarctic Shearwater,litshe4,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Subantarctic Shearwater,
Puffinus baroli,Barolo Shearwater,litshe1,species,BASH,Procellariiformes,Shearwaters and Petrels,BASH,Barolo Shearwater,PUFBAR,,,,,,,Barolo Shearwater,BASH
Puffinus boydi,Boyd's Shearwater,litshe2,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Boyd's Shearwater,
Puffinus lherminieri,Sargasso Shearwater,audshe,species,SASH,Procellariiformes,Shearwaters and Petrels,SASH,Sargasso Shearwater,PUFLHE,,,Sargasso Shearwater,SASH,,,Sargasso Shearwater,SASH
Puffinus bailloni,Tropical Shearwater,troshe5,species,,Procellariiformes,Shearwaters and Petrels,,,,,,Tropical Shearwater,TRSH,,BBL,Tropical Shearwater,(TRSH)
Puffinus persicus,Persian Shearwater,pershe1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Persian Shearwater,
Puffinus heinrothi,Heinroth's Shearwater,heishe1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Heinroth's Shearwater,
Pelecanoides garnotii,Peruvian Diving-Petrel,pedpet1,species,,Procellariiformes,Shearwaters and Petrels,,,,,,,,,,Peruvian Diving-Petrel,
